Date,Close,Volume,Open,High,Low
2011-10-14 15:53:00,1220.4,640851,1220.4,1220.4,1220.4
2011-10-14 15:54:00,1218.9,914950,1218.9,1218.9,1218.9
2011-10-14 15:55:00,1219.55,2717831,1219.55,1219.55,1219.55
2011-10-14 15:56:00,1219.8,796835,1219.8,1219.8,1219.8
2011-10-14 15:57:00,1220.4,1844665,1220.4,1220.4,1220.4
2011-10-14 15:58:00,1220.9,673024,1220.9,1220.9,1220.9
2011-10-14 15:59:00,1219.8999999999999,625034,1219.8999999999999,1219.8999999999999,1219.8999999999999
2011-10-14 16:00:00,1218.93,518669,1218.93,1218.93,1218.93
2011-10-17 15:30:00,1219.75,1199831,1219.75,1219.75,1219.75
2011-10-17 15:31:00,1219.2,510141,1219.2,1219.2,1219.2
2011-10-17 15:32:00,1220.0,526502,1220.0,1220.0,1220.0
2011-10-17 15:33:00,1219.2,523704,1219.2,1219.2,1219.2
2011-10-17 15:34:00,1218.1,613081,1218.1,1218.1,1218.1
2011-10-17 15:35:00,1217.8,932013,1217.8,1217.8,1217.8
2011-10-17 15:36:00,1217.3,726126,1217.3,1217.3,1217.3
2011-10-17 15:37:00,1218.8,905655,1218.8,1218.8,1218.8
2011-10-17 15:38:00,1218.1999999999998,877083,1218.1999999999998,1218.1999999999998,1218.1999999999998
2011-10-17 15:39:00,1217.3999999999999,768067,1217.3999999999999,1217.3999999999999,1217.3999999999999
2011-10-17 15:40:00,1217.7,704577,1217.7,1217.7,1217.7
2011-10-17 15:41:00,1216.6,575203,1216.6,1216.6,1216.6
2011-10-17 15:42:00,1217.7,658768,1217.7,1217.7,1217.7
2011-10-17 15:43:00,1218.4,534718,1218.4,1218.4,1218.4
2011-10-17 15:44:00,1219.588,661517,1219.588,1219.588,1219.588
2011-10-17 15:45:00,1219.4,708713,1219.4,1219.4,1219.4
2011-10-17 15:46:00,1219.1,475952,1219.1,1219.1,1219.1
2011-10-17 15:47:00,1220.3,743455,1220.3,1220.3,1220.3
2011-10-17 15:48:00,1219.2,691419,1219.2,1219.2,1219.2
2011-10-17 15:49:00,1218.3,599648,1218.3,1218.3,1218.3
2011-10-17 15:50:00,1219.1,648618,1219.1,1219.1,1219.1
2011-10-17 15:51:00,1218.1,216812,1218.1,1218.1,1218.1
2011-10-17 15:52:00,1217.1,794641,1217.1,1217.1,1217.1
2011-10-17 15:53:00,1216.7,691711,1216.7,1216.7,1216.7
2011-10-17 15:54:00,1215.8,396521,1215.8,1215.8,1215.8
2011-10-17 15:55:00,1215.1000000000001,778110,1215.1000000000001,1215.1000000000001,1215.1000000000001
2011-10-17 15:56:00,1215.4,457985,1215.4,1215.4,1215.4
2011-10-17 15:57:00,1215.9,465301,1215.9,1215.9,1215.9
2011-10-17 15:58:00,1215.75,769576,1215.75,1215.75,1215.75
2011-10-17 15:59:00,1215.6999999999998,661606,1215.6999999999998,1215.6999999999998,1215.6999999999998
2011-10-17 16:00:00,1215.5,1145608,1215.5,1215.5,1215.5
2011-10-18 15:30:00,1200.8580000000002,1058634,1200.8580000000002,1200.8580000000002,1200.8580000000002
2011-10-18 15:31:00,1202.1,888348,1202.1,1202.1,1202.1
2011-10-18 15:32:00,1202.6000000000001,662351,1202.6000000000001,1202.6000000000001,1202.6000000000001
2011-10-18 15:33:00,1201.5,592587,1201.5,1201.5,1201.5
2011-10-18 15:34:00,1201.699,561118,1201.699,1201.699,1201.699
2011-10-18 15:35:00,1201.999,657382,1201.999,1201.999,1201.999
2011-10-18 15:36:00,1203.1,838191,1203.1,1203.1,1203.1
2011-10-18 15:37:00,1202.3999999999999,452420,1202.3999999999999,1202.3999999999999,1202.3999999999999
2011-10-18 15:38:00,1203.8,426162,1203.8,1203.8,1203.8
2011-10-18 15:39:00,1203.5,664129,1203.5,1203.5,1203.5
2011-10-18 15:40:00,1202.6000000000001,765876,1202.6000000000001,1202.6000000000001,1202.6000000000001
2011-10-18 15:41:00,1200.9,791080,1200.9,1200.9,1200.9
2011-10-18 15:42:00,1200.6999999999998,665288,1200.6999999999998,1200.6999999999998,1200.6999999999998
2011-10-18 15:43:00,1200.2,948427,1200.2,1200.2,1200.2
2011-10-18 15:44:00,1201.1499999999999,677915,1201.1499999999999,1201.1499999999999,1201.1499999999999
2011-10-18 15:45:00,1200.3,401874,1200.3,1200.3,1200.3
2011-10-18 15:46:00,1199.2,552882,1199.2,1199.2,1199.2
2011-10-18 15:47:00,1198.33,756761,1198.33,1198.33,1198.33
2011-10-18 15:48:00,1197.95,917625,1197.95,1197.95,1197.95
2011-10-18 15:49:00,1196.3,1070139,1196.3,1196.3,1196.3
2011-10-18 15:50:00,1196.8000000000002,835525,1196.8000000000002,1196.8000000000002,1196.8000000000002
2011-10-18 15:51:00,1195.3,1354771,1195.3,1195.3,1195.3
2011-10-18 15:52:00,1195.5,868041,1195.5,1195.5,1195.5
2011-10-18 15:53:00,1194.0,996553,1194.0,1194.0,1194.0
2011-10-18 15:54:00,1195.3,979845,1195.3,1195.3,1195.3
2011-10-18 15:55:00,1194.0,725862,1194.0,1194.0,1194.0
2011-10-18 15:56:00,1193.5,1297034,1193.5,1193.5,1193.5
2011-10-18 15:57:00,1193.51,738047,1193.51,1193.51,1193.51
2011-10-18 15:58:00,1195.5,1208824,1195.5,1195.5,1195.5
2011-10-18 15:59:00,1196.1,1034997,1196.1,1196.1,1196.1
2011-10-18 16:00:00,1195.05,1359163,1195.05,1195.05,1195.05
2011-10-19 15:30:00,1223.55,1358581,1223.55,1223.55,1223.55
2011-10-19 15:31:00,1224.3000000000002,588514,1224.3000000000002,1224.3000000000002,1224.3000000000002
2011-10-19 15:32:00,1224.0,863381,1224.0,1224.0,1224.0
2011-10-19 15:33:00,1223.1999999999998,467505,1223.1999999999998,1223.1999999999998,1223.1999999999998
2011-10-19 15:34:00,1225.1000000000001,825761,1225.1000000000001,1225.1000000000001,1225.1000000000001
2011-10-19 15:35:00,1225.9,1004182,1225.9,1225.9,1225.9
2011-10-19 15:36:00,1226.4,624813,1226.4,1226.4,1226.4
2011-10-19 15:37:00,1226.9,733477,1226.9,1226.9,1226.9
2011-10-19 15:38:00,1227.3,698231,1227.3,1227.3,1227.3
2011-10-19 15:39:00,1227.1,421970,1227.1,1227.1,1227.1
2011-10-19 15:40:00,1225.4,816546,1225.4,1225.4,1225.4
2011-10-19 15:41:00,1225.6,551061,1225.6,1225.6,1225.6
2011-10-19 15:42:00,1224.4,573358,1224.4,1224.4,1224.4
2011-10-19 15:43:00,1224.6,717847,1224.6,1224.6,1224.6
2011-10-19 15:44:00,1223.9,457556,1223.9,1223.9,1223.9
2011-10-19 15:45:00,1222.9,871641,1222.9,1222.9,1222.9
2011-10-19 15:46:00,1223.5,487805,1223.5,1223.5,1223.5
2011-10-19 15:47:00,1223.4,616968,1223.4,1223.4,1223.4
